,,,,,,,,,,,
,,,,,,,,,,,
housedhold2022ReadOnly,,,,,,,,,,,
"Scotland's Census 2022 - National Records of Scotland
Table UV402 - Accommodation type - Households
All occupied households",,,,,,,,,,,
Council Area 2019 nach Type of accomodation,,,,,,,,,,,
Zählen: Households,,,,,,,,,,,
,,,,,,,,,,,
Filter:,,,,,,,,,,,
Standardsumme,Households,,,,,,,,,,
,,,,,,,,,,,
Type of accomodation,,All occupied households,Whole house or bungalow: Total,Whole house or bungalow: Detached,Whole house or bungalow: Semi-detached,Whole house or bungalow: Terraced (including end-terrace),"Flat, maisonette or apartment: Total","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building",Caravan or other mobile or temporary structure
,Council Area 2019,,,,,,,,,,
,Clackmannanshire,24072,18101,6302,6846,4953,5958,5475,328,155,13
,Dumfries and Galloway,70633,60861,25832,21044,13985,9604,8317,837,450,165
,East Ayrshire,55436,43785,13439,17771,12575,11627,10970,506,151,22
,East Lothian,48792,37339,12921,13462,10956,11405,10360,867,181,48
,East Renfrewshire,39732,30622,12297,12067,6258,9082,8798,228,56,29
,Na h-Eileanan Siar,12717,11960,8431,2546,989,728,660,31,37,25
,Falkirk,72490,52057,17242,19092,15723,20358,19652,476,226,75
,Highland,111727,95498,47673,31517,16305,15786,14053,1204,525,444
,Inverclyde,37405,21196,5299,8963,6938,16190,14885,1198,110,19
,Midlothian,41009,32324,9857,11673,10792,8391,7932,332,127,294
,Moray,43116,37409,16649,13485,7277,5490,4809,477,204,217
,North Ayrshire,64185,49041,14609,16639,17793,15004,13843,918,246,137
,Orkney Islands,10631,9916,6396,2633,886,685,471,161,52,28
,Scottish Borders,55583,42144,18028,14007,10107,13370,11717,1248,405,71
,Shetland Islands,10576,9574,6006,2795,773,972,777,157,38,30
,South Ayrshire,52491,39916,15098,14329,10489,12537,11487,805,245,38
,South Lanarkshire,147810,107670,36428,34358,36884,39941,38504,1041,396,199
,Stirling,40349,30058,13291,10263,6505,10234,9026,952,259,57
,Aberdeen City,109450,54441,13738,23173,17529,54916,51621,2877,418,93
,Aberdeenshire,115769,102079,56333,33028,12720,13424,11760,1268,395,262
,Argyll and Bute,41894,29812,15453,9148,5211,11902,9762,1883,259,177
,City of Edinburgh,238944,87916,26963,30457,30496,150956,143465,6727,764,75
,Renfrewshire,86721,54099,15521,19708,18870,32605,31458,944,203,17
,West Dunbartonshire,42596,23078,4568,9642,8868,19495,19146,251,97,23
,West Lothian,79836,63683,22015,19599,22069,16107,15344,543,221,45
,Angus,54258,41723,18977,13456,9290,12201,10835,1028,337,334
,Dundee City,69857,36833,9339,18684,8809,33008,31078,1600,330,16
,East Dunbartonshire,46461,37638,15354,15794,6490,8798,8361,347,94,22
,Fife,169573,128094,44134,44603,39357,41210,37464,2928,818,272
,Perth and Kinross,69989,53461,28278,15888,9294,16294,14445,1339,507,231
,Glasgow City,293802,92058,14893,41015,36152,201222,195279,5046,897,516
,North Lanarkshire,151371,108388,29318,37089,41983,42893,41744,713,435,90
,,,,,,,,,,,
,,,,,,,,,,,
INFO,Cells in this table have been randomly adjusted to avoid the release of confidential data.,,,,,,,,,,
"Crown copyright 2024
For further information on variables, see https://www.scotlandscensus.gov.uk/about/metadata-a-to-z/
In order to protect against disclosure of personal information, Statistical Disclosure Control has been applied to the data/outputs. 
Cells might not sum to sub totals and totals due to these Statistical Disclosure Controls.
To find out more on this visit https://www.scotlandscensus.gov.uk/about/2022-census/statistical-methodology/statistical-disclosure-control/",,,,,,,,,,,
© WingArc Australia 2018,,,,,,,,,,,
